x,y
297,464
290,464
284,465
276,466
265,468
253,468
238,468
226,466
206,461
190,454
174,446
159,436
145,425
132,412
122,398
114,381
110,361
109,339
110,317
116,294
126,271
139,249
154,227
174,207
198,188
229,169
260,154
290,143
320,137
348,135
377,135
405,140
430,149
454,161
475,177
493,194
507,213
518,234
523,255
526,280
526,303
523,326
516,348
507,370
495,389
481,406
467,421
452,433
435,443
417,454
398,463
380,471
361,478
347,482
333,483
322,483
313,483
306,482
301,481
297,480
294,479
291,478
289,477
288,477
287,477
