x,y
241,479
235,479
225,479
215,479
204,479
190,479
174,477
158,473
144,467
130,460
118,451
109,440
100,426
94,410
89,392
87,373
86,353
87,332
90,311
96,292
103,273
113,254
125,237
141,220
160,205
179,191
202,181
225,172
249,166
273,163
296,161
318,163
339,169
360,177
377,189
392,202
404,217
413,232
420,248
423,267
423,286
421,305
416,324
411,341
405,357
398,373
390,387
380,401
369,412
358,422
347,430
335,436
323,443
311,451
299,457
287,462
276,465
265,469
257,472
249,473
242,475
236,475
234,475
