x,y
154,271
154,267
158,263
165,258
174,251
184,246
195,241
206,237
214,237
221,239
228,242
234,246
239,251
244,258
247,266
250,282
251,299
251,315
251,331
250,343
248,354
246,362
244,368
243,371
241,372
239,372
236,371
234,368
230,365
227,362
223,355
