x,y
209,249
207,250
205,254
202,260
198,269
194,283
191,291
190,295
190,300
186,322
184,344
184,367
183,374
183,380
184,408
184,413
185,418
192,444
196,451
212,468
225,470
235,468
254,457
258,454
281,436
288,429
289,427
293,420
294,419
293,415
293,414
288,414
287,414
