x,y
266,166
267,161
269,157
270,154
269,157
262,170
255,189
244,214
232,242
220,273
206,306
191,340
177,371
167,398
158,419
151,433
145,441
139,445
133,443
128,438
123,429
117,417
114,404
112,389
111,376
116,355
127,327
140,302
156,278
177,255
203,234
230,216
259,203
287,195
310,194
329,202
344,216
355,236
364,260
367,290
368,313
364,348
357,374
350,396
341,416
332,429
320,436
311,435
293,424
283,408
276,389
274,374
276,363
284,355
293,353
309,355
330,363
336,365
345,368
353,371
362,374
369,377
375,380
380,382
