x,y
59,431
67,424
75,417
86,409
98,399
112,389
127,380
144,370
160,364
175,358
192,353
207,351
219,351
230,352
237,355
242,360
244,368
243,377
238,388
229,400
217,413
202,427
188,440
175,450
169,457
