x,y
94,433
91,427
90,426
92,423
99,418
108,413
117,407
126,402
134,399
140,399
145,399
149,401
149,404
144,411
137,421
128,433
117,449
107,464
100,477
95,482
91,486
91,485
96,479
104,469
116,459
130,448
145,441
160,434
172,431
182,429
191,431
198,434
202,440
204,447
204,452
200,458
194,464
186,468
179,471
172,471
165,470
161,467
161,464
161,461
166,458
173,457
181,457
191,459
199,462
207,466
212,471
218,477
219,479
