x,y
133,223
130,223
131,221
133,219
137,216
140,213
145,209
153,204
171,193
175,190
197,177
217,167
234,159
239,157
242,156
252,152
260,149
268,147
272,147
273,148
272,151
270,157
265,164
261,172
253,186
247,198
241,210
234,222
233,225
217,248
207,262
200,271
193,278
188,283
184,286
182,287
184,285
188,279
196,272
205,263
217,255
227,248
241,239
251,234
262,230
272,228
281,228
290,228
298,231
304,235
309,241
313,248
314,250
318,267
318,276
318,285
318,290
317,300
314,311
306,329
300,339
294,346
286,356
274,369
263,377
253,384
242,390
232,394
223,396
221,396
217,396
215,396
209,393
204,389
202,383
201,377
202,369
206,360
212,352
219,344
228,337
230,336
247,328
249,327
254,326
256,325
265,325
267,325
275,325
282,328
288,331
295,337
299,341
300,345
302,348
302,350
302,351
300,355
