x,y,
231,58,
231,63,
231,80,
231,93,
230,111,
227,133,
225,158,
225,186,
225,214,
225,248,
232,278,
242,312,
251,340,
262,368,
272,393,
285,415,
298,438,
312,455,
321,465,
331,477,
338,484,
343,489,
346,493,
348,494,
350,496,
351,496,
352,497,
352,497,
