x,y
253,419
252.32998657226562,419
249.66998291015625,419
247,419
239,419
217.6699981689453,418.3299865722656
211,418.3299865722656
202.3300018310547,417.66998291015625
191.6699981689453,416.3299865722656
184.3300018310547,415.66998291015625
177.6699981689453,414.3299865722656
172.3300018310547,413.66998291015625
165,412.3299865722656
159.6699981689453,411.66998291015625
155.6699981689453,411.66998291015625
150.3300018310547,411.66998291015625
145.6699981689453,411.66998291015625
141.6699981689453,409.66998291015625
139,409
137,408.3299865722656
135.6699981689453,407.66998291015625
134.3300018310547,407
133,407
131.6699981689453,407
131,407
130.3300018310547,406.3299865722656
129.6699981689453,406.3299865722656
127.66999816894531,405.66998291015625
126.33000183105469,405.66998291015625
125.66999816894531,405.66998291015625
125,405.66998291015625
124.33000183105469,405.66998291015625
123.66999816894531,405.66998291015625
123,405.66998291015625
122.33000183105469,405.66998291015625
121.66999816894531,405.66998291015625
121,405.66998291015625
121,405
121,404.3299865722656
121,403.66998291015625
121,403
121,402.3299865722656
121,400.3299865722656
120.33000183105469,398.3299865722656
120.33000183105469,395
119,392.3299865722656
119,384.3299865722656
117,377
115.66999816894531,369
115,363
113,356.3299865722656
111.66999816894531,350.3299865722656
111,341
111,331.66998291015625
111,319.66998291015625
111,314.3299865722656
111,303.66998291015625
111,298.3299865722656
111,281.66998291015625
111,272.3299865722656
111,263
111,255
111,243
111,233.6699981689453
109.66999816894531,225.6699981689453
109,217.6699981689453
108.32999420166015,214.3300018310547
107.66999816894531,212.3300018310547
107.66999816894531,210.3300018310547
107,209.6699981689453
107,209
106.32999420166015,209
107,209
107.66999816894531,209
108.32999420166015,209
110.32999420166015,208.3300018310547
113.66999816894531,207.6699981689453
116.32999420166015,207.6699981689453
119.66999816894531,205.6699981689453
123.66999816894531,205
132.3300018310547,203
139,202.3300018310547
147,201
157,199.6699981689453
165,199
171.6699981689453,197.6699981689453
183.6699981689453,197.6699981689453
193,197
205,197
210.3300018310547,195.6699981689453
219.6699981689453,195.6699981689453
229,195.6699981689453
241,195.6699981689453
251,196.3300018310547
259,196.3300018310547
264.3299865722656,197
276.3299865722656,197
287,198.3300018310547
296.3299865722656,199.6699981689453
307,201.6699981689453
313,201.6699981689453
322.3299865722656,202.3300018310547
337,203.6699981689453
345,205.6699981689453
358.3299865722656,205.6699981689453
361.66998291015625,207.6699981689453
369.66998291015625,207.6699981689453
379,209.6699981689453
387,210.3300018310547
395.66998291015625,211.6699981689453
401,212.3300018310547
404.3299865722656,213.6699981689453
407.66998291015625,215
409.66998291015625,215.6699981689453
413,216.3300018310547
416.3299865722656,218.3300018310547
418.3299865722656,219.6699981689453
422.3299865722656,220.3300018310547
427,222.3300018310547
429,223
431,223.6699981689453
434.3299865722656,224.3300018310547
435.66998291015625,225.6699981689453
437,226.3300018310547
437,227
437.66998291015625,227
437.66998291015625,227.6699981689453
438.3299865722656,228.3300018310547
438.3299865722656,229
438.3299865722656,229.6699981689453
438.3299865722656,230.3300018310547
438.3299865722656,231
438.3299865722656,231.6699981689453
438.3299865722656,233
438.3299865722656,235
438.3299865722656,239
437,245
437,255.66998291015625
437,269.66998291015625
437,280.3299865722656
437,287
436.3299865722656,293
436.3299865722656,301
436.3299865722656,309
436.3299865722656,318.3299865722656
436.3299865722656,326.3299865722656
435.66998291015625,331.66998291015625
435.66998291015625,335
435.66998291015625,337.66998291015625
435.66998291015625,341.66998291015625
435.66998291015625,347
435.66998291015625,354.3299865722656
435.66998291015625,362.3299865722656
435.66998291015625,367.66998291015625
435.66998291015625,373
434.3299865722656,377
434.3299865722656,379.66998291015625
434.3299865722656,382.3299865722656
434.3299865722656,383.66998291015625
433.66998291015625,385
433.66998291015625,386.3299865722656
433.66998291015625,387.66998291015625
433.66998291015625,389.66998291015625
433,391.66998291015625
433,394.3299865722656
433,396.3299865722656
432.3299865722656,399
432.3299865722656,400.3299865722656
432.3299865722656,403
432.3299865722656,405
432.3299865722656,407
432.3299865722656,408.3299865722656
432.3299865722656,409.66998291015625
432.3299865722656,410.3299865722656
432.3299865722656,411
432.3299865722656,411.66998291015625
431.66998291015625,411.66998291015625
431,411.66998291015625
430.3299865722656,411.66998291015625
427.66998291015625,411.66998291015625
425,412.3299865722656
423,413
419,413
417,413.66998291015625
413.66998291015625,413.66998291015625
411.66998291015625,413.66998291015625
409.66998291015625,413.66998291015625
406.3299865722656,413.66998291015625
401.66998291015625,413.66998291015625
398.3299865722656,413.66998291015625
394.3299865722656,413.66998291015625
390.3299865722656,413.66998291015625
385,413.66998291015625
379.66998291015625,413.66998291015625
377.66998291015625,413.66998291015625
373.66998291015625,413.66998291015625
371,413.66998291015625
366.3299865722656,413.66998291015625
361,413.66998291015625
357,413.66998291015625
352.3299865722656,413.66998291015625
348.3299865722656,413.66998291015625
344.3299865722656,413.66998291015625
341,413.66998291015625
339,413.66998291015625
337,415
335.66998291015625,415
333.66998291015625,415
331.66998291015625,415
330.3299865722656,415
327,415
325,415
323,415
319.66998291015625,415
317.66998291015625,415
315.66998291015625,415
313.66998291015625,415
311.66998291015625,415
310.3299865722656,415
307.66998291015625,415
306.3299865722656,415
305.66998291015625,415
304.3299865722656,415
303.66998291015625,415
302.3299865722656,415
301,415
300.3299865722656,415
299,415
297,415
295.66998291015625,415
293.66998291015625,415
291.66998291015625,415
290.3299865722656,415
288.3299865722656,415
287,415
285.66998291015625,415
284.3299865722656,415
283.66998291015625,415
281.66998291015625,415
281,415
280.3299865722656,415
279,415
277.66998291015625,415
277,415
275,415
274.3299865722656,415
273,415
271.66998291015625,415
271,415
270.3299865722656,415
269,415
267.66998291015625,415
267,415
266.3299865722656,415
265.66998291015625,415
265,415
264.3299865722656,415
263.66998291015625,415
263,415
262.3299865722656,415
261,415
260.3299865722656,415
259.66998291015625,415
258.3299865722656,415
257,415.66998291015625
255.66998291015625,415.66998291015625
254.32998657226562,416.3299865722656
253.66998291015625,416.3299865722656
252.32998657226562,416.3299865722656
251.66998291015625,416.3299865722656
251,416.3299865722656
250.32998657226562,416.3299865722656
251.66998291015625,416.3299865722656
257,419
