x,y
318.3299865722656,398.3299865722656
314.3299865722656,398.3299865722656
309,398.3299865722656
297.66998291015625,399
291.66998291015625,399.66998291015625
280.3299865722656,401
272.3299865722656,401.66998291015625
267,403
261,403
258.3299865722656,403.66998291015625
255,403.66998291015625
253,404.3299865722656
251,404.3299865722656
247.66998291015625,405
243.6699981689453,405
235.6699981689453,405
230.3300018310547,405
222.3300018310547,405
215,407
211,407
207,407
202.3300018310547,407.66998291015625
197,407.66998291015625
193,409
189,409
185.6699981689453,409
184.3300018310547,409
183,409
181.6699981689453,409
180.3300018310547,409
179.6699981689453,409
179.6699981689453,408.3299865722656
179.6699981689453,407.66998291015625
179.6699981689453,407
180.3300018310547,405.66998291015625
181,405
181,404.3299865722656
181,403
181,402.3299865722656
181,401
181,399.66998291015625
181,395
181,386.3299865722656
181,377
179.6699981689453,363.66998291015625
179.6699981689453,358.3299865722656
179.6699981689453,347.66998291015625
178.3300018310547,337
176.3300018310547,320.3299865722656
172.3300018310547,301.66998291015625
171,288.3299865722656
169.6699981689453,273.66998291015625
167.6699981689453,257
165,241.6699981689453
164.3300018310547,235.6699981689453
163,223.6699981689453
163,210.3300018310547
161.6699981689453,193.6699981689453
161,184.3300018310547
161,176.3300018310547
161,165.6699981689453
161,156.3300018310547
161,147
161,137.6699981689453
161,132.3300018310547
161,127
161,124.33000183105469
161,121
161,118.32999420166015
161,115
161,112.32999420166015
162.3300018310547,105.66999816894531
163,99
163,95
163,92.32999420166015
163,91.66999816894531
163,89
163,87.66999816894531
163,87
163,86.32999420166015
163,85
163,83.66999816894531
163,83
163,81.66999816894531
163,80.32999420166015
163,79.66999816894531
163,79
163,77.66999816894531
163,76.33000183105469
163,75.66999816894531
163,74.33000183105469
162.3300018310547,73.66999816894531
162.3300018310547,73
162.3300018310547,72.33000183105469
162.3300018310547,71.66999816894531
162.3300018310547,71
162.3300018310547,70.33000183105469
162.3300018310547,69.66999816894531
163,69
163.6699981689453,69
163.6699981689453,68.33000183105469
165.6699981689453,68.33000183105469
172.3300018310547,68.33000183105469
181,68.33000183105469
193,68.33000183105469
202.3300018310547,67
209,67
218.3300018310547,67
231.6699981689453,66.33000183105469
243.6699981689453,66.33000183105469
255.66998291015625,66.33000183105469
259.66998291015625,66.33000183105469
274.3299865722656,67
291,66.33000183105469
302.3299865722656,70.33000183105469
310.3299865722656,72.33000183105469
319.66998291015625,74.33000183105469
339,77
352.3299865722656,80.32999420166015
357.66998291015625,81
366.3299865722656,83
378.3299865722656,84.32999420166015
390.3299865722656,86.32999420166015
401,87.66999816894531
405.66998291015625,89
409.66998291015625,90.32999420166015
415.66998291015625,92.32999420166015
421,93
428.3299865722656,95
433.66998291015625,95.66999816894531
441,97
445.66998291015625,99
449.66998291015625,99.66999816894531
451.66998291015625,100.32999420166015
455,101.66999816894531
457,103
459.66998291015625,103.66999816894531
461,105
463.66998291015625,105
465,105.66999816894531
466.3299865722656,106.32999420166015
467,107
467.66998291015625,107
468.3299865722656,107.66999816894531
469,107.66999816894531
469,108.32999420166015
469,109
469,109.66999816894531
469,111
469,112.32999420166015
469,115
469.66998291015625,119
469.66998291015625,123.66999816894531
470.3299865722656,129
470.3299865722656,134.3300018310547
470.3299865722656,139.6699981689453
470.3299865722656,150.3300018310547
470.3299865722656,166.3300018310547
470.3299865722656,177
470.3299865722656,185
470.3299865722656,188.3300018310547
470.3299865722656,196.3300018310547
470.3299865722656,211
470.3299865722656,221.6699981689453
470.3299865722656,229.6699981689453
470.3299865722656,233.6699981689453
470.3299865722656,235.6699981689453
470.3299865722656,241
471.66998291015625,246.3300018310547
472.3299865722656,257.66998291015625
473.66998291015625,268.3299865722656
475,276.3299865722656
475.66998291015625,281.66998291015625
477.66998291015625,286.3299865722656
478.3299865722656,293
481.66998291015625,304.3299865722656
483,313.66998291015625
483.66998291015625,319
485,325
485,327
485,329
485,329.66998291015625
485,330.3299865722656
485,331
485,331.66998291015625
485,332.3299865722656
485,333.66998291015625
486.3299865722656,337
486.3299865722656,339
486.3299865722656,341
486.3299865722656,343.66998291015625
486.3299865722656,345.66998291015625
486.3299865722656,347
485.66998291015625,348.3299865722656
485.66998291015625,349.66998291015625
485.66998291015625,351
484.3299865722656,353
483.66998291015625,355
483,358.3299865722656
482.3299865722656,359.66998291015625
481,361
480.3299865722656,362.3299865722656
479.66998291015625,363.66998291015625
479,365
478.3299865722656,365
478.3299865722656,365.66998291015625
477.66998291015625,366.3299865722656
477,366.3299865722656
477,367.66998291015625
477,371.66998291015625
477,372.3299865722656
477,373
477,373.66998291015625
477,374.3299865722656
477,375
477,375.66998291015625
477,376.3299865722656
477,377
475,377
471.66998291015625,377
467.66998291015625,377
465.66998291015625,376.3299865722656
462.3299865722656,376.3299865722656
458.3299865722656,376.3299865722656
454.3299865722656,375.66998291015625
449,375
439.66998291015625,375
431,373.66998291015625
423,373.66998291015625
420.3299865722656,373.66998291015625
416.3299865722656,373
411.66998291015625,373
406.3299865722656,373
401,373
395.66998291015625,373
390.3299865722656,371.66998291015625
387,372.3299865722656
383,372.3299865722656
381,372.3299865722656
377.66998291015625,373
376.3299865722656,373.66998291015625
373,373.66998291015625
371,374.3299865722656
367,375
365.66998291015625,375.66998291015625
361.66998291015625,376.3299865722656
359.66998291015625,376.3299865722656
356.3299865722656,377.66998291015625
354.3299865722656,378.3299865722656
351.66998291015625,379.66998291015625
350.3299865722656,380.3299865722656
348.3299865722656,381.66998291015625
345.66998291015625,383
344.3299865722656,385
343,385.66998291015625
341.66998291015625,387
341,388.3299865722656
340.3299865722656,389
339,389.66998291015625
338.3299865722656,391
337,391.66998291015625
336.3299865722656,391.66998291015625
335.66998291015625,393
334.3299865722656,393.66998291015625
333.66998291015625,394.3299865722656
333,395.66998291015625
331.66998291015625,396.3299865722656
330.3299865722656,397
329,397
327.66998291015625,398.3299865722656
326.3299865722656,398.3299865722656
325.66998291015625,398.3299865722656
325,398.3299865722656
324.3299865722656,398.3299865722656
323.66998291015625,398.3299865722656
323,398.3299865722656
322.3299865722656,399
321.66998291015625,399
321,399
320.3299865722656,399
319.66998291015625,399
319,399
318.3299865722656,399
317.66998291015625,399
317,399
316.3299865722656,399
315.66998291015625,399
315,399
314.3299865722656,399
313.66998291015625,399
314.3299865722656,399
315,399
