x,y
284.3299865722656,388.3299865722656
277.66998291015625,388.3299865722656
269.66998291015625,388.3299865722656
260.3299865722656,388.3299865722656
253,388.3299865722656
219.6699981689453,386.3299865722656
204.3300018310547,384.3299865722656
192.3300018310547,383
170.3300018310547,381
162.3300018310547,380.3299865722656
157,380.3299865722656
148.3300018310547,378.3299865722656
143.6699981689453,377.66998291015625
139.6699981689453,377.66998291015625
135.6699981689453,377.66998291015625
131.6699981689453,377.66998291015625
129.6699981689453,377.66998291015625
127.66999816894531,377.66998291015625
124.33000183105469,377.66998291015625
122.33000183105469,377.66998291015625
121,377.66998291015625
120.33000183105469,377.66998291015625
119,377.66998291015625
118.32999420166015,377
117.66999816894531,377
117,377
117,376.3299865722656
117,375.66998291015625
117,375
117,374.3299865722656
117,373.66998291015625
117,373
117,371.66998291015625
117.66999816894531,369.66998291015625
117.66999816894531,368.3299865722656
117.66999816894531,359
117.66999816894531,354.3299865722656
117.66999816894531,346.3299865722656
117.66999816894531,337
117.66999816894531,324.3299865722656
117.66999816894531,312.3299865722656
117.66999816894531,304.3299865722656
117.66999816894531,296.3299865722656
117.66999816894531,290.3299865722656
117.66999816894531,281
117.66999816894531,268.3299865722656
117.66999816894531,256.3299865722656
119.66999816894531,239
122.33000183105469,219
127.66999816894531,187
132.3300018310547,163.6699981689453
137,135
138.3300018310547,104.32999420166015
141,86.32999420166015
142.3300018310547,66.33000183105469
142.3300018310547,55.66999816894531
142.3300018310547,50.32999801635742
142.3300018310547,48.32999801635742
141.6699981689453,45.66999816894531
141,44.32999801635742
141,43.66999816894531
140.3300018310547,43.66999816894531
139.6699981689453,43.66999816894531
140.3300018310547,43.66999816894531
140.3300018310547,44.32999801635742
141,44.32999801635742
145,45.66999816894531
150.3300018310547,45.66999816894531
157,45.66999816894531
165,45.66999816894531
170.3300018310547,45.66999816894531
183.6699981689453,48.32999801635742
193,49
209.6699981689453,50.32999801635742
218.3300018310547,51.66999816894531
236.3300018310547,52.32999801635742
259,53.66999816894531
282.3299865722656,57
297,58.33000183105469
323,59.66999816894531
344.3299865722656,63.66999816894531
357.66998291015625,67
379,69.66999816894531
395,69.66999816894531
406.3299865722656,71.66999816894531
422.3299865722656,73
439.66998291015625,74.33000183105469
451.66998291015625,74.33000183105469
459.66998291015625,74.33000183105469
474.3299865722656,74.33000183105469
487.66998291015625,75
495.66998291015625,76.33000183105469
503.66998291015625,77
508.33001708984375,78.33000183105469
514.3300170898437,80.32999420166015
521,81
525,81.66999816894531
528.3300170898437,83.66999816894531
531,83.66999816894531
531.6699829101562,84.32999420166015
531.6699829101562,85
531.6699829101562,85.66999816894531
531.6699829101562,86.32999420166015
531.6699829101562,87
531.6699829101562,87.66999816894531
531.6699829101562,91
531.6699829101562,103
531.6699829101562,119
531.6699829101562,129.6699981689453
531.6699829101562,137.6699981689453
530.3300170898437,149.6699981689453
530.3300170898437,166.3300018310547
530.3300170898437,182.3300018310547
530.3300170898437,185.6699981689453
530.3300170898437,191
530.3300170898437,196.3300018310547
530.3300170898437,204.3300018310547
530.3300170898437,212.3300018310547
528.3300170898437,220.3300018310547
528.3300170898437,227
527.6699829101562,233
526.3300170898437,237
526.3300170898437,242.3300018310547
526.3300170898437,250.32998657226562
526.3300170898437,257
526.3300170898437,266.3299865722656
525.6699829101562,272.3299865722656
525.6699829101562,277.66998291015625
525.6699829101562,279.66998291015625
525.6699829101562,285
525.6699829101562,287.66998291015625
525,291.66998291015625
525,296.3299865722656
523.6699829101562,301.66998291015625
523,306.3299865722656
523,311.66998291015625
523,315.66998291015625
523,319.66998291015625
523,321.66998291015625
523,325
523,327.66998291015625
523,330.3299865722656
523.6699829101562,334.3299865722656
525,339.66998291015625
525.6699829101562,343
525.6699829101562,345.66998291015625
525.6699829101562,347.66998291015625
526.3300170898437,351
526.3300170898437,353
526.3300170898437,355
526.3300170898437,357.66998291015625
526.3300170898437,359.66998291015625
526.3300170898437,361
526.3300170898437,363
526.3300170898437,364.3299865722656
526.3300170898437,365.66998291015625
526.3300170898437,367
526.3300170898437,368.3299865722656
527,374.3299865722656
529,381.66998291015625
531,389.66998291015625
534.3300170898437,398.3299865722656
537.6699829101562,407.66998291015625
538.3300170898437,414.3299865722656
539.6699829101562,419
539.6699829101562,421
539.6699829101562,422.3299865722656
539.6699829101562,424.3299865722656
539.6699829101562,425
539.6699829101562,426.3299865722656
539.6699829101562,427.66998291015625
539.6699829101562,428.3299865722656
539.6699829101562,429
539.6699829101562,430.3299865722656
539.6699829101562,431
539,431.66998291015625
539,433
539,433.66998291015625
538.3300170898437,435
537.6699829101562,435.66998291015625
537.6699829101562,436.3299865722656
537.6699829101562,437.66998291015625
537.6699829101562,439
537.6699829101562,439.66998291015625
537,441
536.3300170898437,442.3299865722656
535.6699829101562,443.66998291015625
535,445
535,445.66998291015625
534.3300170898437,445.66998291015625
533.6699829101562,447
533,447
529.6699829101562,447
524.3300170898437,447
522.3300170898437,447
518.3300170898437,447.66998291015625
516.3300170898437,447.66998291015625
514.3300170898437,447.66998291015625
511,447.66998291015625
505.66998291015625,447.66998291015625
500.3299865722656,448.3299865722656
495,448.3299865722656
487,448.3299865722656
481.66998291015625,448.3299865722656
477.66998291015625,448.3299865722656
473,448.3299865722656
469,448.3299865722656
463.66998291015625,449
454.3299865722656,448.3299865722656
446.3299865722656,448.3299865722656
438.3299865722656,448.3299865722656
433.66998291015625,448.3299865722656
429.66998291015625,449
427.66998291015625,449
425,449
420.3299865722656,447.66998291015625
414.3299865722656,445
407,443.66998291015625
397.66998291015625,440.3299865722656
393.66998291015625,440.3299865722656
385.66998291015625,437
382.3299865722656,435.66998291015625
379,435
376.3299865722656,433.66998291015625
371.66998291015625,432.3299865722656
367.66998291015625,432.3299865722656
365,431.66998291015625
363,430.3299865722656
359,430.3299865722656
357,429
353.66998291015625,429
351.66998291015625,428.3299865722656
349.66998291015625,427.66998291015625
346.3299865722656,427.66998291015625
344.3299865722656,427.66998291015625
340.3299865722656,427
337,426.3299865722656
335,426.3299865722656
331,425.66998291015625
328.3299865722656,424.3299865722656
324.3299865722656,423.66998291015625
321,423
318.3299865722656,422.3299865722656
315,421.66998291015625
313,421
311,420.3299865722656
309.66998291015625,419.66998291015625
307,418.3299865722656
305,418.3299865722656
301,417.66998291015625
296.3299865722656,417
293.66998291015625,417
289.66998291015625,417
287.66998291015625,416.3299865722656
282.3299865722656,416.3299865722656
280.3299865722656,416.3299865722656
278.3299865722656,416.3299865722656
277,415.66998291015625
274.3299865722656,415.66998291015625
273.66998291015625,415.66998291015625
272.3299865722656,415
269.66998291015625,414.3299865722656
267.66998291015625,414.3299865722656
265.66998291015625,413.66998291015625
263,412.3299865722656
261,412.3299865722656
257,411
255,411
250.32998657226562,409
248.32998657226562,409
243.6699981689453,407
242.3300018310547,406.3299865722656
241,405
239.6699981689453,403.66998291015625
238.3300018310547,403.66998291015625
237.6699981689453,402.3299865722656
237,401.66998291015625
236.3300018310547,401
236.3300018310547,400.3299865722656
235.6699981689453,399.66998291015625
235,399.66998291015625
235,399
233.6699981689453,398.3299865722656
233,398.3299865722656
232.3300018310547,397.66998291015625
231.6699981689453,397.66998291015625
231,397
231,396.3299865722656
230.3300018310547,395.66998291015625
229.6699981689453,395
229,395
228.3300018310547,395
227.6699981689453,394.3299865722656
227,394.3299865722656
