x,y
117,210
115,210
117,208
125,204
137,198
151,191
168,182
186,174
204,165
223,158
239,154
252,153
260,154
263,157
262,163
256,173
248,184
239,198
228,212
217,227
207,241
198,254
189,265
181,274
175,282
170,288
167,290
167,292
168,291
174,287
182,282
194,275
209,266
227,258
246,249
265,244
281,241
285,241
308,242
318,246
326,251
332,260
337,269
339,276
339,294
337,307
332,321
325,336
316,352
306,365
293,378
281,389
268,399
255,407
241,414
228,418
216,422
207,422
200,422
195,422
192,419
191,417
191,415
192,415
