x,y
119,300
121,297
126,292
131,285
135,281
141,275
147,269
152,264
158,258
163,254
167,249
171,246
174,243
176,241
178,240
180,239
180,240
180,242
177,253
174,258
172,265
170,271
168,278
162,296
156,314
150,334
144,350
137,372
132,388
128,401
124,411
123,415
122,417
121,418
121,417
123,411
128,396
133,387
141,373
151,357
161,341
165,336
186,305
198,288
211,271
223,256
233,242
241,232
248,224
250,220
251,219
249,224
248,226
242,244
239,256
237,268
235,281
234,294
234,308
235,316
239,327
244,336
251,343
255,346
259,348
263,350
269,350
274,351
279,350
285,348
291,345
306,334
317,325
324,317
327,313
328,311
327,309
325,309
323,312
