x,y
144,179
144,181
144,185
145,190
146,196
148,204
150,212
152,222
153,234
154,244
156,256
158,268
159,279
160,290
160,300
160,311
160,318
160,329
160,336
160,342
159,345
159,346
159,348
159,350
158,353
158,355
158,357
157,359
156,360
156,361
155,362
154,362
153,364
151,364
150,364
147,364
142,362
138,360
133,357
128,353
126,348
125,342
126,333
131,323
139,314
147,305
160,292
170,285
180,278
190,272
192,271
200,267
214,263
221,263
224,263
227,263
236,267
237,268
246,277
249,283
251,288
251,295
251,302
251,308
250,315
248,320
244,326
241,331
236,336
232,341
229,343
227,345
225,346
225,347
224,348
226,346
